band,r01_mean,r01_std,r02_mean,r02_std,difference
1,0.9916738279001345,0.006197563786955591,0.993496626536801,0.011464956395815082,0.0018227986366665672
2,0.9826951686313611,0.019568997886636266,0.9940582776234798,0.007620684828963962,0.011363108992118676
3,0.9507417057887004,0.09178653372449788,0.9932477203192309,0.006249547699215524,0.04250601453053049
4,0.935474953929323,0.10471622625333875,0.9967156765157132,0.002957357293750622,0.06124072258639024
5,0.9167924698729952,0.11317912990723639,0.9484937792695901,0.0688207278416175,0.03170130939659488
