band,mean_corr,std_corr,median_corr,min_corr,max_corr,n_pairs
1,0.993496626536801,0.011464956395815082,0.9994063994845461,0.9687761579572233,0.9999631439116583,45
2,0.9940582776234798,0.007620684828963962,0.9974902243148116,0.9769959321104799,0.9996727711592066,45
3,0.9932477203192309,0.006249547699215524,0.9912685153430567,0.9740787905871021,0.999585969928153,45
4,0.9967156765157132,0.002957357293750622,0.9981604558948769,0.9898651843416763,0.999732985627191,45
5,0.9484937792695901,0.0688207278416175,0.998013664956789,0.773978430273547,0.9997277147011494,45
